Contenido,IR,Fecha,Dispositivo,Likes,Retweets,Entidad,Hora,Foto
"#TransparenciaGT 🔎 | Mejorar el registro y control de la #EjecuciónPresupuestaria por pago de sueldos, salarios, pr… https://t.co/RO3TS9SvdY",https://twitter.com/i/web/status/1387875139488927744,29/04/2021 15:03:13,Twitter Web App,3,1,Ministerio de Finanzas Guatemala,15:03:13,http://pbs.twimg.com/profile_images/1292831294796320768/6Q8j5vtW.jpg
"RT @eduardoehr: Iniciamos con la coordinación de la mesa interinstitucional para abogar por una migración segura, ordenada y regular con el…",https://twitter.com/i/web/status/1387938686902456322,29/04/2021 19:15:44,Twitter Web App,0,13,MINEX Guatemala 🇬🇹,19:15:44,http://pbs.twimg.com/profile_images/1292832595093475329/6LQbTy36.jpg
RT @eduardoehr: En estos momentos se lleva a cabo el Taller de Organización Financiera con el apoyo de @AtlantisU @alexaramoficial @ConsGtH…,https://twitter.com/i/web/status/1387938732775510019,29/04/2021 19:15:55,Twitter Web App,0,4,MINEX Guatemala 🇬🇹,19:15:55,http://pbs.twimg.com/profile_images/1292832595093475329/6LQbTy36.jpg
"#Información | En Oficinas Centrales, estamos atendiendo en horario de 7:00 a 15:00 horas de lunes a viernes. https://t.co/4CXd81C6Xi",https://twitter.com/i/web/status/1387951118999826436,29/04/2021 20:05:08,Hootsuite Inc.,1,0,Migración Guatemala,20:05:08,http://pbs.twimg.com/profile_images/1346129009051054081/v9JUwo36.jpg
"""Mañana concluyen los 15 días establecidos en el estado de prevención, el cual no se renovará y se regresa al siste… https://t.co/1zBa9UbgXj",https://twitter.com/i/web/status/1387951319332311050,29/04/2021 20:05:56,Twitter Web App,12,8,Gobierno Guatemala,20:05:56,http://pbs.twimg.com/profile_images/1371488309743120384/QqlgsWUm.jpg
"Conoce el proceso de registro gratuito de vacunación #COVID19 para personas de 70 años o más. 

Ingresa a… https://t.co/cepP0zyagv",https://twitter.com/i/web/status/1387956678021292039,29/04/2021 20:27:13,Twitter Media Studio,42,26,Gobierno Guatemala,20:27:13,http://pbs.twimg.com/profile_images/1371488309743120384/QqlgsWUm.jpg
"#VacunasGt 💉 
➡️Mira el siguiente video para conocer el proceso de registro gratuito de vacunación #COVID19 para pe… https://t.co/vhp0ilxjb4",https://twitter.com/i/web/status/1387959961439936513,29/04/2021 20:40:16,Twitter Web App,2,0,MINEX Guatemala 🇬🇹,20:40:16,http://pbs.twimg.com/profile_images/1292832595093475329/6LQbTy36.jpg
RT @DrGiammattei: Hago un llamado a la población a que cuidemos de los adultos mayores y los ayuden a registrarse en https://t.co/D8daz5pPp…,https://twitter.com/i/web/status/1387961270645796868,29/04/2021 20:45:28,Twitter Web App,0,36,Gobierno Guatemala,20:45:28,http://pbs.twimg.com/profile_images/1371488309743120384/QqlgsWUm.jpg
#InformeNacional | Arriban a Guatemala más de 321 mil dosis de la vacuna AstraZeneca. ▶️ https://t.co/ry3fDUN1Jc https://t.co/GbhkRYjQic,https://twitter.com/i/web/status/1387986229745049602,29/04/2021 22:24:39,Twitter Web App,23,5,Gobierno Guatemala,22:24:39,http://pbs.twimg.com/profile_images/1371488309743120384/QqlgsWUm.jpg
#IGM | ¡Profesionalismo! Cada trámite es atendido con honradez y eficiencia. https://t.co/aUvq2g7s4Q,https://twitter.com/i/web/status/1388115992044257285,30/04/2021 07:00:17,Hootsuite Inc.,0,0,Migración Guatemala,07:00:17,http://pbs.twimg.com/profile_images/1346129009051054081/v9JUwo36.jpg
#DiplomaciaComercialGT🇬🇹 La @EmbaGuateCanada  participó en reunión con una empresa de capital guatemalteco canadien… https://t.co/JkqdSEoYHD,https://twitter.com/i/web/status/1388131031237021698,30/04/2021 08:00:02,Twitter Web App,2,2,MINEX Guatemala 🇬🇹,08:00:02,http://pbs.twimg.com/profile_images/1292832595093475329/6LQbTy36.jpg
"#Pasaportes | El pasaporte guatemalteco cuenta con más de 30 medidas de seguridad, cumpliendo con la regulación int… https://t.co/lOaFYTkmBp",https://twitter.com/i/web/status/1388131417951977476,30/04/2021 08:01:34,Hootsuite Inc.,0,0,Migración Guatemala,08:01:34,http://pbs.twimg.com/profile_images/1346129009051054081/v9JUwo36.jpg
"#VacunaCOVID19 | Registro de vacunación para personas de 70 años o más, ingresa a https://t.co/XjxozAmJfy o comuníc… https://t.co/jZ3UkDtxeb",https://twitter.com/i/web/status/1388138474067447810,30/04/2021 08:29:37,Twitter Web App,11,10,Gobierno Guatemala,08:29:37,http://pbs.twimg.com/profile_images/1371488309743120384/QqlgsWUm.jpg
"¿Eres adoptado y tienes orígenes guatemaltecos? y deseas:

✅Buscar tus orígenes en Guatemala
✅Obtener documentos de… https://t.co/T49IPiwWbN",https://twitter.com/i/web/status/1388146124901519362,30/04/2021 09:00:01,Twitter Web App,2,2,MINEX Guatemala 🇬🇹,09:00:01,http://pbs.twimg.com/profile_images/1292832595093475329/6LQbTy36.jpg
"""Guatemala, un país lleno de aventuras con una gastronomía única"".  Riqueza cultural, reconocida en el Mundo.🌎 

¡G… https://t.co/DnRS4QatuR",https://twitter.com/i/web/status/1388146128751837185,30/04/2021 09:00:02,TweetDeck,0,1,MINEX Guatemala 🇬🇹,09:00:02,http://pbs.twimg.com/profile_images/1292832595093475329/6LQbTy36.jpg
#ControlMigratorio | 🚌 Compartimos los requisitos de ingreso al país vía terrestre para guatemaltecos y extranjeros… https://t.co/6gxX60WZba,https://twitter.com/i/web/status/1388148210196262916,30/04/2021 09:08:18,Twitter for iPhone,0,0,Migración Guatemala,09:08:18,http://pbs.twimg.com/profile_images/1346129009051054081/v9JUwo36.jpg
"24 al 30 de abril, Semana de Vacunación en las Américas 💉

La pandemia por COVID-19 pone en riego el esquema de vac… https://t.co/O1ymbcam8b",https://twitter.com/i/web/status/1388153671247085581,30/04/2021 09:30:00,Twitter Web App,3,1,Ministerio de Salud Pública,09:30:00,http://pbs.twimg.com/profile_images/1311755159027015685/QQcxgYd1.jpg
